Ilimbag
Ipagsabi
basahan
binansagang
dakpin
dinaluhan
hihingiin
hihiramin
hinangaan
hinarap
hiramin
hirang
hiwagang
ibilang
idinulog
igalang
ikinasal
ikinuwento
ilibing
inagaw
inakala
inanyayahan
iniipon
inis
inusisa
ipinagtanggol
isinulong
kinanta
kinatigan
likumin
minahal
nirerentahan
pinaplano
pinaputok
pinatawad
pinatuloy
pinulong
pinuna
sinikap
siniyasat
sirain
