anim
animnapu
apat
apatnapu
dalawa
ika
ika
ika-anim
ika-apat
ika-siyam
ikaanim
ikaapat
ikalabing-anim
ikalawa
ikalima
ikapito
ikasiyam
ikatlo
isat-isa
katlo
labin-dalawa
labing
labing-anim
labing-apat
lima
limpak-limpak
nobenta
pang-apat
pangalawa
pangatlo
pitumpu
pitumpu
pu
sampu
sasapat
siyam
siyamnapu
tatlo
walo
