Baragatan
Kalapi
alinman
anuman
bawat
buo
darami
iba
iba
iba
iba
iban
iisa
isa
isa
isa
isa
kabitan
kabuntisan
kabuti
kabuuan
kabuuran
kabuwanan
kada
kahati
kaiba
kaisa-isa
kalahatan
kalahati
kaninuman
kapwa
karami
karamihan
kasalatan
kasapatan
katakutan
kaunti
konti
lahat
madami
madla
madla
marami
pangkalahatan
parami
sangkatauhan
tanan
