tulad
gaya
kadalas
kadalasa
kagaya
kahalintulad
kalilipas
kapareho
kaparis
kasilyas
kasinlaki
kasunduang-bansa
katulad
katumbas
kaugnay
kaysa
matikas
minamaneho
pare-pareho
parehas
pareho

