ng
gahaman
ganunpaman
gayundin
gayunman
gayunpaman
kaabahan
kaagad-agad
kaagapay
kaakibat
kaaliwan
kaalyado
kaamuan
kaanak
kaanib
kaasalan
kaawa-awa
kaawaan
kaayaaya
kabilang
kagahapon
kahalili
kainaman
kapalit
kasabay
kasali
kasama
kasama
kasapi
katabi
kumbaga
sama
sus
upang
upuang
