Pumagitna
Pumikit
Sumasabit
Umapaw
umakma
umarkila
umarko
umarmado
umaarte
umarte
umatake
bumaba
bumabang
bumagsak
bumagyo
bumaha
bumahin
bumalangkas
bumalik
bumaling
bumangon
bumaril
bumasa
bumati
bumawi
bumbay
bumigay
bumigkas
bumilang
bumili
bumilis
bumisita
bumitaw
bumitiw
bumiyahe
bumoto
bumubula
bumuhay
bumukal
bumukas
bumuli
bumulong
bumuntot
bumuo
bumuti
didinig
dumaan
dumaang
dumadaig
dumadaing
dumagsa
dumaing
dumako
dumalaw
dumalo
dumaloy
dumamay
dumami
dumampot
dumanak
dumanas
dumaong
dumapo
dumapong
dumarami
dumating
dumayo
dumidinig
dumikit
dumilim
duming
duminig
dumulog
dumumi
dumura
gumaan
gumabay
gumagala
gumalang
gumalaw
gumaling
gumamit
gumampan
gumana
gumanap
gumanda
gumanti
gumapang
gumapas
gumasta
gumastos
gumawa
gumawang
gumayak
guminhawa
gumising
gumugol
gumugulo
gumugulpi
gumuhit
gumuho
gumuhong
hugasan
hulaan
humaba
humadlang
humaging
humahayo
humakbang
humalik
humalili
humamak
humanap
humanda
humangin
humangos
humantong
humarang
humarap
humatak
humatol
humawak
humayo
humiga
humigit
humigit-kumulang
humiling
humimpil
humin
humina
huminga
humingi
huminto
humipo
humiram
humirang
humiwalay
humubog
humuli
humupa
kumain
kumakaing
kumakalam
kumakapal
kumakatok
kumalat
kumampi
kumanta
kumapal
kumapit
kumatawan
kumatok
kumaway
kumbinsihin
kumibo
kumikita
kumilala
kumiling
kumilos
kumita
kumite
kumonsulta
kumontak
kumporme
kumpunihin
kumpyansa
kumuha
kumulang
kumulog
kumunsulta
kumusta
luluhod
lulutas
lumabag
lumaban
lumabas
lumabis
lumaganap
lumagay
lumagda
lumago
lumagpak
lumagpas
lumahok
lumakad
lumakas
lumaki
lumala
lumalang
lumalim
lumambot
lumamig
lumamon
lumampas
lumantad
lumaon
lumapag
lumapastangan
lumapit
lumawak
lumaya
lumayas
lumayo
lumbang
lumbay
lumiban
lumigaya
lumigid
lumiham
lumiit
lumikas
lumikha
lumiko
lumingon
lumipad
lumipas
lumipat
lumisan
lumitaw
lumpia
lumubha
lumubog
lumuha
lumuhod
lumuluha
lumuluhod
lumundag
lumunsad
lumusob
lumusong
lumutang
lumutas
lumuwas
lunasan
lupigin
mag-ani
mag-aplay
mag-aya
mag-iibayo
mag-imbak
mag-ina
mag-ingay
mag-ipon
mag-isip
mag-karga
mag-lagay
mag-print
mag-ugat
mag-ukol
mag-ulat
mag-uling
mag-usap
mag-utos
mag-uusap
magalak
magalaw
magalit
magamot
magara
magasawa
magbabala
magbabasa
magbago
magbahagi
magbalak
magbalik
magbangon
magbasa
magbata
magbawa
magbayad
magbib
magbigay
magbihis
magbilang
magbitiw
magbiyahe
magbukas
magbuo
magbuwis
magdaan
magdalita
magdamit
magdanas
magdaraos
magdarasal
magdasal
magdiborsiyo
magdiwang
magduda
magdulot
magdusa
maggagawa
maggitara
maghahanda
maghahari
maghain
maghalal
maghanap
maghanda
maghapon
magharap
maghari
maghayag
maghinala
maghirap
magigiliw
magilas
maginaw
magisa
magisip
magkagayo
magkaiba
magkalakal
magkasama
magkasanib
magkasundo
magkatulad
magkopya
magkukumpuni
magkulang
magkumpuni
maglaan
maglagak
maglagari
maglagay
maglahad
maglaho
maglakad
maglakbay
maglalaan
maglalaho
maglalakad
maglalakbay
maglaman
maglaro
maglatag
maglathala
maglayag
maglibot
maglingkod
maglinis
maglunsad
magmalaki
magmana
magmaneho
magmula
magmungkahi
magnais
magpabautismo
magpadala
magpagaling
magpagawa
magpagupit
magpahanggang
magpahintulot
magpaikot
magpakahusay
magpakain
magpakilala
magpakita
magpakoreo
magpalabas
magpalaganap
magpalawak
magpalipas
magpamilya
magpanibago
magpantay
magpapaalaala
magpapakilala
magpapaliwanag
magpapasiya
magpapatala
magpapayo
magpasa
magpasakal
magpasimula
magpasiya
magpasok
magpasuri
magpasuso
magpasya
magpasyang
magpatakbo
magpataw
magpatawad
magpatayo
magpatibay
magpatingin
magpayo
magpinta
magplano
magprankisya
magpunas
magpuno
magpunta
magpunyagi
magpuri
magrekomenda
magrepaso
magrerenta
magresulta
magsabi
magsadya
magsakripisyo
magsal
magsalita
magsama
magsampa
magsanay
magsara
magsasakdal
magsasaya
magsawa
magsaya
magsibili
magsikap
magsilbi
magsilbing
magsimba
magsimula
magsindi
magsinungaling
magsipanatili
magsiparito
magsisamba
magsisampalataya
magsisi
magsisikap
magsisilbi
magsisisi
magsisiyasat
magsiyaon
magsiyasat
magsugo
magsulat
magsumite
magsuri
magsusuri
magtaas
magtagalog
magtago
magtagumpay
magtaguyod
magtakip
magtala
magtalaga
magtamasa
magtamo
magtanggal
magtapat
magtapos
magtayo
magtiis
magtinda
magtindig
magtipon
magtiwala
magtiyak
magtrabaho
magtuloy
magtuon
magubat
magulat
magwakas
ngumiti
pumailalim
pumalaot
pumalit
pumanaw
pumangalawa
pumanhik
pumanig
pumapanig
pumarito
pumaroon
pumasa
pumasok
pumatak
pumatay
pumatnubay
pumatol
pumayag
pumayapa
pumigil
pumila
pumirma
pumitas
pumorma
pumunta
pumutok
pumutol
sumabak
sumabay
sumabog
sumagana
sumagot
sumagupa
sumailalim
sumainyo
sumakanya
sumakay
sumakit
sumaklaw
sumakop
sumaksi
sumalakay
sumali
sumalo
sumalok
sumalubong
sumalungat
sumama
sumamba
sumampa
sumang-ayon
sumangayon
sumangguni
sumanib
sumapi
sumapit
sumasa
sumayaw
sumbong
sumibol
sumigaw
sumigla
sumikat
sumiklab
sumilang
sumilay
sumilip
sumilong
sumingil
sumipi
sumiping
sumipot
sumira
sumisid
sumisira
sumpain
sumubok
sumugod
sumuko
sumulat
sumulong
sumulpot
sumumpa
sumunod
sumuporta
sumuri
sumuway
tumaas
tumaba
tumagal
tumaggap
tumagos
tumahak
tumahan
tumahi
tumahimik
tumakas
tumakbo
tumakip
tumalakay
tumalikod
tumalilis
tumalima
tumalo
tumalon
tumama
tumambad
tumambay
tumanaw
tumanda
tumanggap
tumanggi
tumangging
tumangis
tumangkilik
tumango
tumapat
tumapos
tumatag
tumawa
tumawag
tumawid
tumaya
tumayo
tumbas
tumbasan
tumestigo
tumibay
tumigil
tumila
tumilaok
tumilapon
tumimo
tumindi
tumindig
tumingala
tumingin
tumira
tumitig
tumitiwala
tumiwalag
tumiyak
tumubo
tumugma
tumugon
tumugtog
tumuklas
tumukoy
tumula
tumulad
tumulak
tumuligsa
tumulo
tumulong
tumuloy
tumungo
tumunog
tumuntong
tumupad
tumutol
tumuwid
umaalam
umaangat
umaarte
umabot
umagaw
umagos
umahon
umakay
umaksiyon
umakyat
umalalay
umalis
umambon
umamin
umangal
umangat
umangkin
umangkop
umani
umanib
umanoy
umapela
umarkila
umasa
umasal
umasenso
umatake
umawit
umayaw
umayon
umayos
umento
umibig
umihi
umiibig
umikot
umimik
uminit
uminom
