Samal
Samantala
Samar
Samaritana
Samaritano
abenturera
alang
alang-alang
alintana
bag
bagama
bagaman
bagkus
basta
bilang
bukod
datapwat
halip
imbes
imbing
kabila
kahit
kasera
kundi
liban
malamang
maliban
maski
ngunit
o
para
parang
pero
puwera
pwera
sa
samakatuwid
samantala
samantalang
sasapi
subali
subalit
umano
umano
